Appointment_Date,Attended,DNA
2024-09-11,1210108,285600
2024-09-12,1198522,288570
2024-09-13,1157761,263285
2024-09-14,71633,38095
2024-09-15,4192,1070
2024-09-16,1386838,300605
2024-09-17,1308865,319385
2024-09-18,1226884,291610
2024-09-19,1223971,297490
2024-09-20,1184843,284165
2024-09-21,69684,35670
2024-09-22,4308,2020
2024-09-23,1403235,315400
2024-09-24,1345739,330640
2024-09-25,1249984,308640
2024-09-26,1224951,311140
2024-09-27,1183371,288090
2024-09-28,57866,33855
2024-09-29,3438,1745
2024-09-30,1412124,315150
2024-10-01,1346602,345435
2024-10-02,1287776,320920
2024-10-03,1460573,392470
2024-10-04,1353282,353345
2024-10-05,1117827,837775
2024-10-06,66742,53580
2024-10-07,1557946,357710
2024-10-08,1483745,394850
2024-10-09,1395344,368615
2024-10-10,1392396,383675
2024-10-11,1295663,341660
2024-10-12,645492,475895
2024-10-13,37278,25305
2024-10-14,1514415,355995
2024-10-15,1461670,381755
2024-10-16,1354987,352185
2024-10-17,1348605,360510
2024-10-18,1288543,334765
2024-10-19,402480,284035
2024-10-20,17044,13685
2024-10-21,1463994,348880
2024-10-22,1405852,365460
2024-10-23,1327351,343310
2024-10-24,1295322,344075
2024-10-25,1214336,310290
2024-10-26,200336,136455
2024-10-27,8769,4635
2024-10-28,1367240,317310
2024-10-29,1336285,341440
2024-10-30,1258299,325555
2024-10-31,1213208,317355
2024-11-01,1132674,287500
2024-11-02,119107,66020
2024-11-03,8812,5540
2024-11-04,1448713,334105
2024-11-05,1400463,345690
2024-11-06,1309424,330610
2024-11-07,1302757,331315
2024-11-08,1251740,298615
2024-11-09,105724,77730
2024-11-10,4233,1745
2024-11-11,1463657,325785
2024-11-12,1380694,346485
2024-11-13,1296564,316470
2024-11-14,1285131,317515
2024-11-15,1240399,294360
2024-11-16,72014,43430
2024-11-17,3075,1165
2024-11-18,1462507,325895
2024-11-19,1358991,353765
2024-11-20,1281291,331275
2024-11-21,1265738,334620
2024-11-22,1215155,305995
2024-11-23,57375,42460
2024-11-24,3462,1240
2024-11-25,1450006,325155
2024-11-26,1383524,349970
2024-11-27,1297049,332245
2024-11-28,1263309,325855
2024-11-29,1197708,295205
2024-11-30,49061,31330
2024-12-01,3083,1360
2024-12-02,1436538,331720
2024-12-03,1372082,347495
2024-12-04,1296795,323355
2024-12-05,1281133,325940
2024-12-06,1197696,285550
2024-12-07,44474,31615
2024-12-08,3133,705
2024-12-09,1417911,318470
2024-12-10,1361225,344995
2024-12-11,1288666,324985
2024-12-12,1275476,322860
2024-12-13,1200899,292460
2024-12-14,45371,26455
2024-12-15,3214,720
2024-12-16,1443602,322155
2024-12-17,1390764,349675
2024-12-18,1311685,328325
2024-12-19,1285580,328630
2024-12-20,1193898,300995
2024-12-21,37035,21635
2024-12-22,2984,720
2024-12-23,1291038,309230
2024-12-24,914635,229765
2024-12-25,868,635
2024-12-26,1446,210
2024-12-27,921622,219225
2024-12-28,24255,12285
2024-12-29,2720,730
2024-12-30,1226135,255365
2024-12-31,1053724,236140
2025-01-01,1705,615
2025-01-02,1185745,291060
2025-01-03,1164519,259420
2025-01-04,37035,18170
2025-01-05,2762,775
2025-01-06,1434917,302315
2025-01-07,1404443,328215
2025-01-08,1319766,313455
2025-01-09,1312011,305350
2025-01-10,1256770,286245
2025-01-11,48160,23855
2025-01-12,3456,775
2025-01-13,1491810,307200
2025-01-14,1404785,325530
2025-01-15,1327150,299455
2025-01-16,1322093,301180
2025-01-17,1276202,276640
2025-01-18,48285,25240
2025-01-19,3427,1535
2025-01-20,1498769,296665
2025-01-21,1408678,324365
2025-01-22,1327788,297540
2025-01-23,1312806,316165
2025-01-24,1251547,282110
2025-01-25,46738,24770
2025-01-26,3553,1110
2025-01-27,1487433,297130
2025-01-28,1404043,319300
2025-01-29,1330930,304130
2025-01-30,1313947,308420
2025-01-31,1258250,276345
2025-02-01,45413,22930
2025-02-02,3933,1030
2025-02-03,1485756,299590
2025-02-04,1395555,312570
2025-02-05,1335739,302105
